douban_id,imdb
20254798,tt2179087
20254864,tt1544996
20254986,tt2447934
20255011,tt2418372
20255014,tt2113681
20255015,tt2427502
20255019,tt2404976
20255087,tt2452292
20255099,tt0128707
20255110,tt0178845
20255112,tt1259608
20256235,tt0290038
20256482,tt1754853
20256483,tt1620663
20256484,tt2363439
20256485,tt2093611
20256487,tt2474906
20256515,tt2558212
20256518,tt2524638
20256526,tt11877278
20256595,tt6326162
20256613,tt2434540
20256636,tt2801746
20256908,tt2115308
20256911,tt0199759
20257326,tt2369135
20257330,tt2388838
20257335,tt2388842
20257344,tt2388846
20257367,tt2261612
20257699,tt2239126
20257708,tt2451550
20257765,tt2223990
20257956,tt0677586
20257959,tt0677592
20257960,tt1485638
20258006,tt2364953
20258263,tt0098648
20258669,tt0128338
20258772,tt2263720
20258924,tt2502144
20258925,tt1192100
20258941,tt5154322
20258966,tt2294217
20258981,tt2393775
20259030,tt0003417
20259032,tt0152876
20259040,tt2145765
20259041,tt2147048
20259042,tt2085756
20259044,tt2061689
20259045,tt2082482
20259046,tt2117839
20259047,tt1977002
20259048,tt0089494
20259050,tt1735941
20259058,tt0196543
20259178,tt2381270
20259234,tt2128287
20259262,tt2622192
20259265,tt3095912
20259323,tt3095934
20259326,tt14154692
20259596,tt1360757
20259695,tt0072140
20259697,tt0076101
20259708,tt2057611
20259775,tt1869354
20260125,tt1733296
20261071,tt0759491
20261262,tt1726766
20261678,tt1754567
20261916,tt2322379
20261921,tt2049611
20261962,tt2088849
20261982,tt2182005
20262201,tt2102503
20262238,tt2239866
20262278,tt2137025
20262293,tt1832888
20262329,tt2333627
20262392,tt2399354
20264550,tt2459556
20264634,tt1779401
20265993,tt2387411
20266005,tt2207484
20266039,tt2062645
20266056,tt1988678
20266168,tt1749056
20266403,tt2091993
20266404,tt2023714
20266405,tt2424884
20266407,tt1865338
20266409,tt1714828
20266411,tt1934706
20266412,tt2342573
20266413,tt1602513
20266414,tt2382937
20266415,tt2172271
20266416,tt1464303
20266417,tt2400434
20266418,tt2243537
20266422,tt2671600
20266423,tt5240408
20266425,tt11338484
20266428,tt2487684
20266432,tt2535042
20266442,tt2120847
20266443,tt6046268
20266444,tt6046352
20266463,tt2402342
20266464,tt0324645
20266467,tt2394014
20266468,tt2081261
20266489,tt0285830
20266496,tt0185403
20266517,tt11071054
20266520,tt3364950
20266525,tt2904550
20266570,tt1692191
20266578,tt0907642
20266583,tt6057602
20266595,tt3125154
20266597,tt2704454
20266598,tt2807626
20266721,tt2313780
20266733,tt2415464
20266743,tt2470184
20266747,tt4525470
20266753,tt2599716
20266755,tt1736093
20266758,tt12671978
20266764,tt1996226
20266767,tt1731702
20266769,tt2084850
20266805,tt2510620
20266817,tt2106675
20266819,tt2388621
20267030,tt2170377
20267036,tt2221910
20267058,tt10240526
20267110,tt3419308
20267118,tt1610998
20267967,tt0089828
20267974,tt1859621
20267982,tt2283040
20268331,tt0337290
20268695,tt11558002
20268700,tt1980490
20268706,tt2476448
20268721,tt2846918
20268728,tt2291369
20268731,tt2516874
20268732,tt2468026
20268745,tt2222550
20268754,tt2352216
20268755,tt2234449
20268818,tt1905943
20268930,tt0100799
20268939,tt2012564
20268963,tt2364638
20269038,tt2469506
20269239,tt1785458
20269256,tt1724700
20269261,tt2316561
20270352,tt2347497
20270353,tt2245188
20270354,tt2123294
20270355,tt0198346
20270361,tt2332821
20270384,tt2588506
20270389,tt2745334
20270414,tt2735036
20270421,tt4044970
20270431,tt0194330
20270435,tt10497856
20270444,tt2475426
20270504,tt23396042
20270521,tt0288219
20270674,tt0288287
20270680,tt0286634
20270795,tt2332883
20270861,tt2093944
20270876,tt2088883
20271010,tt2359660
20271013,tt2363260
20271017,tt2110386
20271803,tt1269610
20271826,tt1937454
20271845,tt2414040
20271970,tt2224509
20272232,tt1791650
20272250,tt2392058
20272346,tt22093238
20273012,tt2247844
20273017,tt2429074
20273019,tt1724982
20273023,tt1737583
20273715,tt0277687
20273798,tt5739726
20273800,tt3554976
20273820,tt2493466
20273835,tt4592090
20273838,tt2435174
20273839,tt0194894
20273846,tt0234964
20273850,tt2591834
20273857,tt6901486
20273938,tt5844742
20274029,tt2446606
20274039,tt3303446
20274047,tt1634562
20274055,tt7842798
20274058,tt2301900
20274059,tt0255111
20274060,tt2365382
20274066,tt1700755
20274068,tt0270206
20274071,tt2134166
20274072,tt2133931
20274073,tt2307398
20274074,tt2464966
20274076,tt1778780
20274105,tt2404738
20275210,tt2456720
20275629,tt0455491
20275785,tt7533592
20275828,tt2272364
20275845,tt2461132
20276229,tt2382320
20276230,tt2427892
20276245,tt2401919
20276307,tt0012562
20276464,tt1723779
20276469,tt2022596
20276520,tt2293138
20276524,tt2326808
20276525,tt2207050
20276526,tt1852189
20276528,tt2296987
20276614,tt0201064
20276621,tt0277637
20276623,tt0155632
20276624,tt1964868
20276695,tt1618387
20276700,tt2235819
20276701,tt2309897
20276705,tt2191038
20276713,tt1756374
20276724,tt2014255
20276728,tt2390542
20276742,tt2033222
20276788,tt2461168
20276800,tt2394272
20276918,tt2113690
20276953,tt2317225
20277075,tt0630129
20277079,tt0331555
20277091,tt2167393
20277145,tt2466410
20277176,tt0206994
20277179,tt2460662
20277181,tt2473184
20277183,tt2147491
20277184,tt1242743
20277185,tt2205539
20277186,tt0184703
20277187,tt1692193
20277188,tt2130300
20277189,tt1725065
20277190,tt1792576
20277191,tt1978479
20277194,tt2162745
20277195,tt2224083
20277197,tt2327948
20277198,tt1395384
20277201,tt4621212
20277237,tt2960416
20277247,tt2966450
20277252,tt7156102
20277253,tt3866494
20277260,tt3486682
20277265,tt0605195
20277272,tt2131470
20277278,tt1986607
20277284,tt0203741
20277285,tt2772570
20277287,tt2705582
20277331,tt0106854
20277369,tt3449776
20277375,tt2435968
20277430,tt2066983
20277433,tt2381941
20277434,tt2413620
20277437,tt0232155
20277496,tt1840336
20277632,tt2446042
20277665,tt2099588
20277742,tt0297455
20277789,tt1823120
20277804,tt0057470
20277808,tt0064829
20277811,tt0164080
20277861,tt1609987
20277939,tt2340784
20277943,tt2166492
20277948,tt1284067
20277954,tt2573464
20277961,tt15750956
20277977,tt2579572
20278021,tt1051999
20278174,tt2871776
20278200,tt2243621
20278306,tt2395995
20278412,tt0377644
20278466,tt1844641
20278502,tt2493456
20278505,tt2397535
20278537,tt2436672
20278538,tt2523756
20278795,tt2262345
20278806,tt2034031
20278812,tt2582590
20278813,tt2536522
20278816,tt1890108
20278824,tt0357332
20278827,tt2520352
20279232,tt1643010
20279235,tt1913403
20279397,tt2307752
20279442,tt2806576
20279443,tt3004788
20279476,tt6273116
20279548,tt2400283
20279569,tt2438634
20279611,tt2356146
20279749,tt3341088
20279931,tt1804920
20280034,tt2297063
20280035,tt2312890
20280040,tt2339741
20280057,tt1694746
20280058,tt2092400
20280082,tt2334350
20280111,tt1313176
20280117,tt1912531
20280122,tt2181079
20280140,tt0377991
20280142,tt3914768
20280158,tt1115474
20280228,tt3247224
20280250,tt1548610
20280356,tt4849048
20280358,tt2496624
20280667,tt2090446
20280821,tt2405620
20281344,tt2490012
20281345,tt2490014
20281351,tt2151739
20283481,tt2388757
20283482,tt2262227
20283614,tt1811393
20283617,tt2087852
20283664,tt1849715
20283666,tt1778316
20283908,tt1941774
20283910,tt2194512
20283916,tt2321492
20283923,tt2170474
20283925,tt2107651
20283990,tt2483152
20283992,tt2486902
20284073,tt2374084
20284074,tt1684810
20284119,tt2476918
20284281,tt2474620
20284333,tt2146840
20284407,tt1932674
20284425,tt2251307
20284557,tt1929419
20284560,tt1844113
20284562,tt2336245
20284564,tt2090673
20284608,tt2248558
20284625,tt2289216
20284626,tt2296819
20284629,tt3110574
20284632,tt2273507
20284637,tt2011176
20284639,tt1965029
20284703,tt1924238
20284710,tt0110873
20284711,tt1208738
20284729,tt2388755
20284742,tt0378008
20284747,tt2431022
20284772,tt2380492
20284797,tt2392326
20284807,tt0481938
20284808,tt0240326
20284810,tt0108075
20284811,tt2231874
20284812,tt1783316
20284813,tt2038280
20284814,tt2175184
20284815,tt2157346
20284816,tt2189346
20284817,tt2244782
20284818,tt1644744
20284819,tt1520893
20284820,tt2153953
20284823,tt1621870
20284824,tt1954467
20284825,tt1924464
20284827,tt2080410
20284829,tt2207986
20284832,tt2194748
20284833,tt2376246
20284838,tt2423422
20284840,tt2378579
20284842,tt2232822
20284843,tt1907886
20284846,tt0036220
20284848,tt3163404
20284849,tt4222566
20284853,tt0201771
20284869,tt1568919
20284871,tt2190534
20284872,tt2496620
20284873,tt2500392
20284874,tt2567854
20284882,tt2483822
20284936,tt3711250
20284939,tt1170380
20284970,tt2152721
20284971,tt2575728
20285010,tt2083338
20285026,tt2315854
20285032,tt2360334
20285037,tt2352621
20285044,tt2563158
20285048,tt2473824
20285068,tt2495212
20285126,tt1616535
20285173,tt8482978
20285176,tt1881040
20285197,tt14793042
20285202,tt2396787
20285255,tt2299640
20285294,tt2357003
20285593,tt1918662
20286572,tt2034735
20288452,tt0126668
20293187,tt0115990
20299443,tt2518378
20319033,tt2209714
20326430,tt2475150
20326486,tt2664272
20326501,tt2504896
20326503,tt4597490
20326504,tt2650526
20326515,tt2565938
20326518,tt3341534
20326523,tt2137007
20326528,tt7105006
20326552,tt2390985
20326553,tt1824904
20326554,tt2232446
20326555,tt0250691
20326557,tt0285800
20326665,tt2488496
20333518,tt2334964
20340144,tt2311182
20365200,tt0352602
20365213,tt2412568
