douban_id,imdb_id,Title,Year,Directors,Actors,Genres,Country,Runtime,YourRating_douban,YourRating_imdb,DateRated_First,DateRated_douban,DateRated_imdb,PublicRating_douban,Votes_douban,PublicRating_imdb,Votes_imdb,URL_douban,URL_imdb
1292212.0,tt0120632,天使之城,1998,布拉德·塞伯宁,"尼古拉斯·凯奇, 梅格·瑞恩, 安德鲁·布劳尔","剧情, 爱情, 奇幻",美国 德国,114.0,3.0,6.0,2019-08-26,2019-08-26,2022-07-24,7.9,153640.0,6.7,132294.0,https://movie.douban.com/subject/1292212/,https://www.imdb.com/title/tt0120632/
1300275.0,tt0120663,大开眼戒,1999,斯坦利·库布里克,"汤姆·克鲁斯, 妮可·基德曼, 麦迪逊·埃金顿","剧情, 悬疑, 惊悚",英国 美国,159.0,4.0,8.0,2021-07-11,2021-07-11,2022-07-24,8.1,192630.0,7.5,405222.0,https://movie.douban.com/subject/1300275/,https://www.imdb.com/title/tt0120663/
1300374.0,tt0120689,绿里奇迹,1999,弗兰克·德拉邦特,"汤姆·汉克斯, 大卫·摩斯, 迈克·克拉克·邓肯","剧情, 悬疑, 犯罪",美国,189.0,4.0,8.0,2021-02-04,2021-02-04,2022-07-24,8.9,378871.0,8.6,1504187.0,https://movie.douban.com/subject/1300374/,https://www.imdb.com/title/tt0120689/
1292001.0,tt0120731,海上钢琴师,1998,朱塞佩·托纳多雷,"蒂姆·罗斯, 普路特·泰勒·文斯, 比尔·努恩","剧情, 音乐",意大利,169.0,4.0,9.0,2016-12-20,2016-12-20,2023-02-28,9.3,1838891.0,8.0,72075.0,https://movie.douban.com/subject/1292001/,https://www.imdb.com/title/tt0120731/
1293350.0,tt0120735,两杆大烟枪,1998,盖·里奇,"杰森·弗莱明, 德克斯特·弗莱彻, 尼克·莫兰","剧情, 喜剧, 犯罪",英国,107.0,4.0,8.0,2018-03-08,2018-03-08,2021-01-30,9.1,660425.0,8.1,639100.0,https://movie.douban.com/subject/1293350/,https://www.imdb.com/title/tt0120735/
1291571.0,tt0120737,指环王1：护戒使者,2001,彼得·杰克逊,"伊利亚·伍德, 西恩·奥斯汀, 伊恩·麦克莱恩","剧情, 动作, 奇幻",新西兰 美国,178.0,4.0,8.0,2017-09-28,2017-09-28,2018-06-12,9.1,936312.0,8.9,2131580.0,https://movie.douban.com/subject/1291571/,https://www.imdb.com/title/tt0120737/
1293434.0,tt0120768,王牌对王牌,1998,F·加里·格雷,"塞缪尔·杰克逊, 凯文·史派西, 大卫·摩斯","剧情, 动作, 悬疑",美国 德国,140.0,3.0,6.0,2024-10-08,2024-10-08,2025-08-16,8.5,140858.0,7.3,161139.0,https://movie.douban.com/subject/1293434/,https://www.imdb.com/title/tt0120768/
1306809.0,tt0120804,生化危机,2002,保罗·安德森,"米拉·乔沃维奇, 米歇尔·罗德里格兹, 科林·萨尔蒙","动作, 科幻, 恐怖",英国 德国 法国 美国 加拿大,100.0,4.0,8.0,2020-01-05,2020-01-05,2022-07-24,8.3,405042.0,6.6,301926.0,https://movie.douban.com/subject/1306809/,https://www.imdb.com/title/tt0120804/
1292849.0,tt0120815,拯救大兵瑞恩,1998,史蒂文·斯皮尔伯格,"汤姆·汉克斯, 汤姆·塞兹摩尔, 爱德华·伯恩斯","剧情, 战争",美国,169.0,5.0,9.0,2017-10-21,2017-10-21,2018-01-20,9.1,709183.0,8.6,1586709.0,https://movie.douban.com/subject/1292849/,https://www.imdb.com/title/tt0120815/
1292781.0,tt0120863,细细的红线,1998,泰伦斯·马力克,"西恩·潘, 伊莱亚斯·科泰斯, 吉姆·卡维泽","剧情, 战争",美国,170.0,4.0,8.0,2024-11-03,2024-11-03,2025-08-16,7.8,37277.0,7.6,208301.0,https://movie.douban.com/subject/1292781/,https://www.imdb.com/title/tt0120863/
1294362.0,tt0120915,星球大战前传1：幽灵的威胁,1999,乔治·卢卡斯,"连姆·尼森, 伊万·麦克格雷格, 娜塔莉·波特曼","动作, 科幻, 冒险",美国,136.0,4.0,8.0,2023-09-12,2023-09-12,2024-04-12,8.2,135405.0,6.5,902534.0,https://movie.douban.com/subject/1294362/,https://www.imdb.com/title/tt0120915/
1309060.0,tt0121164,僵尸新娘,2005,"蒂姆·波顿, 迈克·约翰逊","约翰尼·德普, 海伦娜·伯翰·卡特, 艾米丽·沃森","剧情, 动画, 奇幻",美国 英国,77.0,4.0,8.0,2019-01-22,2019-01-22,2019-05-30,8.3,396648.0,7.4,316572.0,https://movie.douban.com/subject/1309060/,https://www.imdb.com/title/tt0121164/
4006490.0,tt0121220,龙珠Z,1989,西尾大介,"野泽雅子, 古川登志夫, 青野武","动作, 动画, 奇幻",日本,24.0,4.0,8.0,2017-08-21,2017-08-21,2023-11-05,9.6,38297.0,8.8,97975.0,https://movie.douban.com/subject/4006490/,https://www.imdb.com/title/tt0121220/
1297785.0,tt0121765,星球大战前传2：克隆人的进攻,2002,乔治·卢卡斯,"伊万·麦克格雷格, 娜塔莉·波特曼, 海登·克里斯滕森","动作, 科幻, 冒险",美国,142.0,4.0,8.0,2023-09-18,2023-09-18,2024-04-12,8.1,111110.0,6.6,798997.0,https://movie.douban.com/subject/1297785/,https://www.imdb.com/title/tt0121765/
1309078.0,tt0121766,星球大战前传3：西斯的反击,2005,乔治·卢卡斯,"伊万·麦克格雷格, 娜塔莉·波特曼, 海登·克里斯滕森","动作, 科幻, 奇幻",美国,140.0,4.0,8.0,2023-09-18,2023-09-18,2024-04-12,8.5,117476.0,7.6,895218.0,https://movie.douban.com/subject/1309078/,https://www.imdb.com/title/tt0121766/
1298038.0,tt0125439,诺丁山,1999,罗杰·米歇尔,"朱莉娅·罗伯茨, 休·格兰特, 理查德·麦凯布","喜剧, 爱情",英国 美国,124.0,4.0,8.0,2017-06-04,2017-06-04,2017-08-15,8.0,401587.0,7.2,370294.0,https://movie.douban.com/subject/1298038/,https://www.imdb.com/title/tt0125439/
1300303.0,tt0127357,我是谁,1998,"陈木胜, 成龙","成龙, 法拉美穗, 山本未来","喜剧, 动作, 科幻",中国香港,108.0,3.0,6.0,2019-09-30,2019-09-30,2022-07-24,7.8,172692.0,6.8,44748.0,https://movie.douban.com/subject/1300303/,https://www.imdb.com/title/tt0127357/
1293555.0,tt0128853,电子情书,1998,诺拉·艾芙隆,"汤姆·汉克斯, 梅格·瑞恩, 凯蒂·萨戈纳","喜剧, 爱情",美国,119.0,3.0,6.0,2024-10-01,2024-10-01,2025-08-16,7.8,107794.0,6.7,239462.0,https://movie.douban.com/subject/1293555/,https://www.imdb.com/title/tt0128853/
